run_id,dataset,channel,selection,k,factor_index,factor_name,accuracy_mean,accuracy_std,repeats
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,32,1,shape,0.4568,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,32,2,scale,0.3896,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,32,3,orientation,0.0478,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,32,4,position_x,0.152,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,32,5,position_y,0.1596,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,32,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,32,1,shape,0.4514,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,32,2,scale,0.383,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,32,3,orientation,0.0426,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,32,4,position_x,0.1608,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_bottom,32,5,position_y,0.1474,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,32,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,32,1,shape,0.4612,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,32,2,scale,0.3972,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,32,3,orientation,0.0496,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,32,4,position_x,0.1886,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,pca_top,32,5,position_y,0.1818,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,32,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,32,1,shape,0.4652,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,32,2,scale,0.4046,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,32,3,orientation,0.0418,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,32,4,position_x,0.1658,0.0,1
